,,Earners (persons),,,,,,Median age of earners (years),,,,,,Sum ($),,,,,,Median ($),,,,,,Mean ($),,,,,
SA2,SA2 NAME,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Australia ,,"12,268,900 ","12,449,976 ","12,703,715 ","13,102,895 ","13,358,252 ","13,678,024 ",42 ,42 ,42 ,42 ,42 ,42 ,"681,646,510,730 ","722,858,965,324 ","759,712,820,057 ","799,748,049,060 ","827,875,051,087 ","856,159,475,083 ","42,987 ","44,778 ","45,828 ","46,854 ","47,692 ","48,360 ","55,559 ","58,061 ","59,802 ","61,036 ","61,975 ","62,594 "
New South Wales,,"3,824,011 ","3,871,906 ","3,953,705 ","4,091,347 ","4,191,542 ","4,344,997 ",42 ,42 ,42 ,42 ,42 ,42 ,"217,709,426,015 ","229,617,831,286 ","242,519,496,944 ","256,928,457,330 ","270,324,902,216 ","283,275,046,025 ","42,819 ","44,576 ","45,697 ","46,879 ","48,085 ","48,700 ","56,932 ","59,304 ","61,340 ","62,798 ","64,493 ","65,196 "
101021007,Braidwood,"1,966 ","2,025 ","2,098 ","2,133 ","2,153 ","2,262 ",50 ,50 ,51 ,50 ,50 ,50 ,"83,198,986 ","88,248,284 ","93,610,368 ","101,830,606 ","109,961,530 ","115,564,780 ","35,047 ","35,946 ","36,963 ","38,093 ","39,716 ","41,288 ","42,319 ","43,579 ","44,619 ","47,741 ","51,074 ","51,090 "
101021008,Karabar,"5,026 ","4,972 ","4,789 ","4,866 ","4,937 ","4,988 ",42 ,42 ,43 ,43 ,42 ,42 ,"277,154,940 ","285,155,682 ","281,555,361 ","289,762,288 ","301,618,607 ","311,923,113 ","51,408 ","53,069 ","53,942 ","54,942 ","55,870 ","57,880 ","55,144 ","57,352 ","58,792 ","59,548 ","61,093 ","62,535 "
101021009,Queanbeyan,"6,155 ","6,139 ","6,049 ","6,194 ","6,419 ","6,486 ",39 ,39 ,39 ,40 ,39 ,39 ,"341,083,467 ","353,910,600 ","353,111,654 ","367,366,063 ","390,044,004 ","395,374,979 ","51,570 ","52,794 ","53,975 ","54,716 ","54,999 ","55,376 ","55,416 ","57,650 ","58,375 ","59,310 ","60,764 ","60,958 "
101021010,Queanbeyan - East,"2,898 ","2,940 ","2,924 ","2,971 ","3,106 ","3,230 ",40 ,40 ,40 ,40 ,40 ,40 ,"173,924,950 ","183,269,025 ","183,669,376 ","186,867,083 ","199,164,715 ","211,520,090 ","53,598 ","55,233 ","55,277 ","55,268 ","55,650 ","57,380 ","60,016 ","62,336 ","62,814 ","62,897 ","64,123 ","65,486 "
101021011,Queanbeyan Region,"8,775 ","8,959 ","9,211 ","9,768 ","10,381 ","11,532 ",46 ,46 ,46 ,46 ,46 ,45 ,"595,599,874 ","624,607,399 ","658,299,033 ","717,452,753 ","790,019,714 ","875,609,556 ","57,055 ","59,218 ","60,896 ","62,857 ","65,366 ","66,227 ","67,875 ","69,718 ","71,469 ","73,449 ","76,102 ","75,929 "
101021012,Queanbeyan West - Jerrabomberra,"7,679 ","7,778 ","7,843 ","8,067 ","8,039 ","8,272 ",41 ,42 ,43 ,43 ,44 ,44 ,"547,471,267 ","571,250,771 ","588,173,409 ","618,616,023 ","639,311,430 ","667,990,366 ","62,046 ","65,316 ","65,961 ","67,545 ","68,719 ","69,787 ","71,295 ","73,444 ","74,993 ","76,685 ","79,526 ","80,753 "
101031013,Bombala,"1,355 ","1,365 ","1,384 ","1,358 ","1,301 ","1,365 ",48 ,49 ,48 ,49 ,48 ,49 ,"59,739,246 ","60,022,863 ","67,534,543 ","67,898,894 ","69,218,945 ","79,115,739 ","38,201 ","38,716 ","41,774 ","42,237 ","44,115 ","47,525 ","44,088 ","43,973 ","48,797 ","49,999 ","53,204 ","57,960 "
101031014,Cooma,"3,759 ","3,746 ","3,752 ","3,711 ","3,680 ","3,800 ",47 ,47 ,47 ,47 ,47 ,47 ,"178,012,691 ","177,026,748 ","186,105,671 ","188,193,949 ","187,910,847 ","195,032,875 ","40,129 ","40,674 ","41,771 ","43,231 ","43,586 ","43,326 ","47,356 ","47,258 ","49,602 ","50,712 ","51,063 ","51,324 "
101031015,Cooma Region,"1,712 ","1,767 ","1,794 ","1,823 ","1,832 ","1,926 ",49 ,48 ,49 ,49 ,48 ,48 ,"72,560,731 ","77,156,265 ","82,200,802 ","88,452,143 ","93,931,414 ","105,189,628 ","34,949 ","35,806 ","36,944 ","39,666 ","40,074 ","42,668 ","42,384 ","43,665 ","45,820 ","48,520 ","51,273 ","54,616 "
101031016,Jindabyne - Berridale,"3,496 ","3,677 ","3,873 ","4,015 ","3,953 ","4,333 ",43 ,44 ,44 ,44 ,44 ,43 ,"154,562,660 ","168,015,945 ","180,468,628 ","191,710,820 ","196,867,405 ","219,472,868 ","36,646 ","37,161 ","38,159 ","37,861 ","39,832 ","41,261 ","44,211 ","45,694 ","46,597 ","47,749 ","49,802 ","50,651 "
101041017,Batemans Bay,"3,689 ","3,648 ","3,633 ","3,698 ","3,724 ","3,827 ",50 ,50 ,51 ,51 ,50 ,50 ,"139,105,786 ","143,020,420 ","145,776,840 ","151,465,867 ","157,091,069 ","161,694,024 ","31,055 ","32,970 ","33,561 ","34,370 ","36,310 ","36,347 ","37,708 ","39,205 ","40,126 ","40,959 ","42,183 ","42,251 "
101041018,Batemans Bay - South,"4,161 ","4,108 ","4,069 ","4,161 ","4,231 ","4,366 ",51 ,51 ,52 ,52 ,53 ,53 ,"169,831,556 ","175,197,371 ","180,558,930 ","191,690,426 ","191,612,124 ","199,426,745 ","32,154 ","32,878 ","34,403 ","35,274 ","35,501 ","37,060 ","40,815 ","42,648 ","44,374 ","46,068 ","45,288 ","45,677 "
101041019,Bega - Tathra,"4,620 ","4,527 ","4,573 ","4,700 ","4,781 ","4,782 ",48 ,48 ,48 ,48 ,48 ,49 ,"203,933,193 ","204,852,091 ","211,831,574 ","223,576,125 ","234,003,913 ","237,869,822 ","37,273 ","39,210 ","39,577 ","40,022 ","41,931 ","42,796 ","44,141 ","45,251 ","46,322 ","47,569 ","48,945 ","49,743 "
101041020,Bega-Eden Hinterland,"4,638 ","4,629 ","4,680 ","4,830 ","4,908 ","5,208 ",50 ,51 ,51 ,51 ,51 ,51 ,"175,691,555 ","179,192,148 ","193,748,956 ","202,145,509 ","212,075,474 ","228,258,656 ","31,267 ","31,279 ","34,131 ","34,404 ","35,601 ","35,345 ","37,881 ","38,711 ","41,399 ","41,852 ","43,210 ","43,828 "
101041021,Broulee - Tomakin,"1,530 ","1,560 ","1,631 ","1,750 ","1,792 ","1,894 ",50 ,51 ,51 ,51 ,51 ,51 ,"67,666,159 ","70,343,429 ","76,950,754 ","82,568,484 ","88,260,992 ","93,876,079 ","34,724 ","36,584 ","37,556 ","37,191 ","38,783 ","40,320 ","44,226 ","45,092 ","47,180 ","47,182 ","49,253 ","49,565 "
101041022,Deua - Wadbilliga,np,np,np,np,np,18 ,np,np,np,np,np,49 ,np,np,np,np,np,"801,768 ",np,np,np,np,np,"24,517 ",np,np,np,np,np,"44,543 "
101041023,Eden,"1,663 ","1,606 ","1,612 ","1,653 ","1,720 ","1,732 ",49 ,49 ,49 ,50 ,50 ,50 ,"70,011,711 ","69,555,210 ","69,340,311 ","73,902,206 ","77,123,301 ","77,274,388 ","34,518 ","36,818 ","36,411 ","36,380 ","37,566 ","38,308 ","42,100 ","43,310 ","43,015 ","44,708 ","44,839 ","44,616 "
101041024,Eurobodalla Hinterland,"1,737 ","1,754 ","1,763 ","1,866 ","1,877 ","1,926 ",50 ,50 ,51 ,51 ,51 ,51 ,"70,378,189 ","70,277,399 ","72,607,046 ","81,680,924 ","83,395,518 ","89,397,640 ","32,419 ","33,062 ","34,213 ","34,788 ","35,163 ","35,748 ","40,517 ","40,067 ","41,184 ","43,773 ","44,430 ","46,416 "
101041025,Merimbula - Tura Beach,"5,779 ","5,839 ","5,895 ","6,044 ","6,125 ","6,334 ",51 ,52 ,52 ,52 ,52 ,52 ,"233,688,224 ","244,999,441 ","256,016,517 ","269,922,187 ","283,366,275 ","295,312,923 ","32,191 ","33,721 ","35,498 ","36,424 ","37,044 ","37,317 ","40,437 ","41,959 ","43,429 ","44,660 ","46,264 ","46,623 "
101041026,Moruya - Tuross Head,"4,120 ","4,057 ","4,171 ","4,237 ","4,305 ","4,342 ",51 ,52 ,52 ,52 ,53 ,53 ,"157,800,049 ","164,058,682 ","173,790,448 ","180,594,948 ","187,138,520 ","192,516,662 ","31,948 ","33,635 ","34,577 ","34,876 ","36,071 ","36,337 ","38,301 ","40,438 ","41,666 ","42,623 ","43,470 ","44,338 "
101041027,Narooma - Bermagui,"4,418 ","4,335 ","4,457 ","4,572 ","4,582 ","4,723 ",54 ,54 ,55 ,55 ,55 ,55 ,"160,151,941 ","166,157,806 ","173,249,711 ","183,339,019 ","182,670,341 ","189,529,575 ","27,444 ","29,049 ","29,277 ","30,491 ","31,652 ","31,098 ","36,250 ","38,329 ","38,871 ","40,100 ","39,867 ","40,129 "
101051539,Goulburn,"11,260 ","11,213 ","11,354 ","11,636 ","11,992 ","12,127 ",43 ,44 ,44 ,44 ,43 ,44 ,"536,819,737 ","556,827,732 ","573,221,327 ","607,994,653 ","648,867,901 ","655,559,519 ","41,279 ","43,092 ","43,672 ","44,894 ","47,062 ","47,272 ","47,675 ","49,659 ","50,486 ","52,251 ","54,108 ","54,058 "
101051540,Goulburn Region,"6,547 ","6,541 ","6,707 ","6,861 ","6,985 ","7,256 ",48 ,48 ,49 ,49 ,49 ,49 ,"294,342,520 ","297,603,971 ","312,022,813 ","348,045,778 ","358,662,691 ","385,468,452 ","36,578 ","36,469 ","38,048 ","40,575 ","41,443 ","43,358 ","44,958 ","45,498 ","46,522 ","50,728 ","51,348 ","53,124 "
101061541,Yass,"3,808 ","3,736 ","3,765 ","3,799 ","3,845 ","3,857 ",44 ,44 ,45 ,45 ,45 ,45 ,"197,160,827 ","201,182,706 ","202,389,855 ","213,849,142 ","223,397,125 ","225,533,404 ","43,892 ","46,922 ","46,736 ","48,955 ","49,839 ","50,593 ","51,775 ","53,850 ","53,756 ","56,291 ","58,101 ","58,474 "
101061542,Yass Region,"6,265 ","6,453 ","6,650 ","6,710 ","6,816 ","7,176 ",46 ,46 ,47 ,47 ,47 ,47 ,"391,081,234 ","400,465,803 ","427,104,257 ","446,240,890 ","474,253,373 ","507,131,032 ","50,885 ","50,820 ","52,454 ","54,493 ","57,070 ","56,952 ","62,423 ","62,059 ","64,226 ","66,504 ","69,579 ","70,670 "
101061543,Young,"5,323 ","5,301 ","5,269 ","5,373 ","5,437 ","5,492 ",44 ,44 ,45 ,45 ,44 ,44 ,"226,082,821 ","238,807,480 ","244,523,318 ","260,884,383 ","266,063,185 ","273,046,931 ","35,935 ","37,309 ","38,662 ","40,471 ","40,932 ","41,325 ","42,473 ","45,050 ","46,408 ","48,555 ","48,936 ","49,717 "
101061544,Young Region,"3,642 ","3,659 ","3,662 ","3,697 ","3,576 ","3,821 ",48 ,48 ,48 ,49 ,49 ,49 ,"153,687,316 ","156,000,224 ","160,559,645 ","178,379,783 ","178,864,497 ","195,977,222 ","34,943 ","36,192 ","37,371 ","39,642 ","41,399 ","41,985 ","42,199 ","42,635 ","43,845 ","48,250 ","50,018 ","51,290 "
102011028,Avoca Beach - Copacabana,"4,135 ","4,214 ","4,335 ","4,427 ","4,526 ","4,621 ",46 ,46 ,46 ,46 ,46 ,46 ,"249,704,313 ","253,033,222 ","264,399,761 ","292,778,325 ","311,664,519 ","323,024,286 ","42,127 ","44,555 ","46,248 ","46,996 ","47,661 ","48,908 ","60,388 ","60,046 ","60,992 ","66,135 ","68,861 ","69,904 "
102011029,Box Head - MacMasters Beach,"6,062 ","6,035 ","6,147 ","6,260 ","6,389 ","6,562 ",49 ,49 ,50 ,49 ,49 ,49 ,"310,960,342 ","324,909,623 ","343,926,275 ","355,743,857 ","371,029,605 ","388,268,724 ","37,822 ","39,663 ","39,640 ","42,621 ","42,597 ","43,638 ","51,297 ","53,838 ","55,950 ","56,828 ","58,073 ","59,169 "
102011030,Calga - Kulnura,"2,614 ","2,637 ","2,665 ","2,818 ","2,896 ","2,998 ",47 ,48 ,47 ,48 ,49 ,48 ,"130,328,966 ","138,898,082 ","143,204,421 ","157,983,983 ","169,327,765 ","176,001,279 ","36,981 ","37,680 ","40,882 ","42,105 ","42,854 ","43,716 ","49,858 ","52,673 ","53,735 ","56,062 ","58,470 ","58,706 "
102011031,Erina - Green Point,"7,461 ","7,522 ","7,538 ","7,568 ","7,543 ","7,822 ",48 ,48 ,49 ,48 ,49 ,48 ,"407,780,420 ","426,983,089 ","444,242,246 ","464,630,999 ","472,848,904 ","492,374,825 ","38,839 ","40,942 ","42,120 ","43,481 ","44,950 ","45,238 ","54,655 ","56,765 ","58,934 ","61,394 ","62,687 ","62,947 "
102011032,Gosford - Springfield,"9,904 ","9,918 ","9,994 ","10,262 ","10,289 ","10,552 ",42 ,42 ,42 ,42 ,42 ,42 ,"497,482,298 ","521,918,370 ","543,951,956 ","578,293,221 ","585,804,053 ","613,182,525 ","41,449 ","43,436 ","44,535 ","45,972 ","46,910 ","47,475 ","50,230 ","52,623 ","54,428 ","56,353 ","56,935 ","58,111 "
102011033,Kariong,"3,447 ","3,455 ","3,473 ","3,538 ","3,584 ","3,702 ",41 ,42 ,42 ,42 ,42 ,42 ,"175,384,289 ","182,673,531 ","187,487,494 ","197,863,156 ","205,376,965 ","214,234,158 ","44,739 ","46,694 ","47,359 ","47,896 ","49,725 ","51,083 ","50,880 ","52,872 ","53,984 ","55,925 ","57,304 ","57,870 "
102011034,Kincumber - Picketts Valley,"3,833 ","3,825 ","3,871 ","3,950 ","3,873 ","4,024 ",46 ,46 ,46 ,46 ,47 ,47 ,"173,989,987 ","184,574,446 ","191,775,841 ","203,291,723 ","201,002,512 ","215,049,794 ","36,815 ","39,485 ","40,830 ","41,642 ","43,003 ","43,379 ","45,393 ","48,255 ","49,542 ","51,466 ","51,898 ","53,442 "
102011035,Narara,"3,694 ","3,650 ","3,712 ","3,820 ","3,849 ","4,049 ",44 ,43 ,43 ,43 ,43 ,43 ,"177,413,499 ","183,286,319 ","193,757,649 ","204,931,962 ","211,316,290 ","222,724,763 ","41,093 ","42,568 ","45,355 ","46,660 ","48,121 ","47,951 ","48,027 ","50,215 ","52,198 ","53,647 ","54,902 ","55,007 "
102011036,Niagara Park - Lisarow,"4,468 ","4,480 ","4,510 ","4,585 ","4,623 ","4,771 ",43 ,44 ,44 ,44 ,44 ,44 ,"231,563,024 ","240,139,067 ","247,702,122 ","253,242,440 ","263,029,555 ","277,283,428 ","43,103 ","44,584 ","44,663 ","45,762 ","46,729 ","48,386 ","51,827 ","53,602 ","54,923 ","55,233 ","56,896 ","58,119 "
102011037,Point Clare - Koolewong,"3,356 ","3,347 ","3,401 ","3,427 ","3,493 ","3,532 ",47 ,47 ,47 ,46 ,47 ,46 ,"169,124,959 ","177,329,927 ","187,524,323 ","192,698,191 ","200,628,203 ","203,261,554 ","42,133 ","43,585 ","45,871 ","45,966 ","47,052 ","47,434 ","50,395 ","52,982 ","55,138 ","56,229 ","57,437 ","57,549 "
102011038,Saratoga - Davistown,"3,870 ","3,890 ","3,894 ","4,022 ","4,057 ","4,149 ",47 ,47 ,47 ,47 ,46 ,46 ,"183,418,795 ","195,997,836 ","204,420,051 ","216,126,979 ","227,666,583 ","241,694,783 ","38,303 ","40,367 ","42,254 ","43,171 ","44,662 ","45,651 ","47,395 ","50,385 ","52,496 ","53,736 ","56,117 ","58,254 "
102011039,Terrigal - North Avoca,"7,845 ","7,902 ","8,078 ","8,338 ","8,420 ","8,727 ",46 ,46 ,46 ,46 ,45 ,46 ,"458,802,432 ","490,216,259 ","505,650,789 ","537,637,079 ","568,497,105 ","613,703,491 ","42,508 ","44,744 ","44,925 ","46,422 ","48,555 ","49,829 ","58,483 ","62,037 ","62,596 ","64,480 ","67,517 ","70,322 "
102011040,Umina - Booker Bay - Patonga,"11,060 ","11,240 ","11,287 ","11,708 ","12,037 ","12,326 ",46 ,46 ,47 ,46 ,46 ,46 ,"504,194,805 ","525,691,956 ","550,115,202 ","576,435,778 ","605,172,683 ","635,432,729 ","37,197 ","38,713 ","39,542 ","40,252 ","41,368 ","42,225 ","45,587 ","46,770 ","48,739 ","49,234 ","50,276 ","51,552 "
102011041,Wamberal - Forresters Beach,"5,569 ","5,624 ","5,715 ","5,920 ","5,966 ","6,151 ",45 ,45 ,45 ,45 ,45 ,46 ,"316,286,129 ","337,209,551 ","349,202,342 ","380,929,905 ","395,635,005 ","408,833,821 ","42,202 ","44,121 ","45,773 ","47,295 ","49,041 ","49,354 ","56,794 ","59,959 ","61,103 ","64,346 ","66,315 ","66,466 "
102011042,Woy Woy - Blackwall,"6,471 ","6,526 ","6,581 ","6,684 ","6,880 ","7,038 ",46 ,46 ,46 ,46 ,46 ,46 ,"302,054,421 ","318,358,891 ","325,292,800 ","339,464,232 ","362,719,989 ","378,803,067 ","39,431 ","40,833 ","40,663 ","42,481 ","43,984 ","44,539 ","46,678 ","48,783 ","49,429 ","50,788 ","52,721 ","53,823 "
102011043,Wyoming,"5,688 ","5,671 ","5,615 ","5,697 ","5,874 ","5,942 ",44 ,44 ,44 ,44 ,44 ,44 ,"257,424,710 ","266,030,040 ","269,894,791 ","280,781,043 ","298,906,782 ","306,692,312 ","39,513 ","41,359 ","42,235 ","43,438 ","45,070 ","45,159 ","45,258 ","46,911 ","48,067 ","49,286 ","50,886 ","51,614 "
102021044,Bateau Bay - Killarney Vale,"10,352 ","10,259 ","10,266 ","10,606 ","10,934 ","11,614 ",44 ,44 ,44 ,44 ,43 ,43 ,"459,722,737 ","477,453,759 ","496,304,658 ","524,333,275 ","549,544,259 ","599,197,746 ","38,464 ","39,986 ","41,514 ","42,469 ","43,465 ","44,849 ","44,409 ","46,540 ","48,345 ","49,437 ","50,260 ","51,593 "
102021045,Blue Haven - San Remo,"4,910 ","4,765 ","4,842 ","5,005 ","5,145 ","5,432 ",39 ,40 ,40 ,40 ,40 ,40 ,"212,114,371 ","216,704,071 ","224,148,149 ","234,449,912 ","248,435,866 ","262,828,444 ","40,455 ","41,390 ","42,540 ","42,641 ","44,332 ","44,241 ","43,200 ","45,478 ","46,292 ","46,843 ","48,287 ","48,385 "
102021046,Budgewoi - Buff Point - Halekulani,"4,082 ","4,093 ","4,109 ","4,312 ","4,388 ","4,584 ",44 ,45 ,45 ,45 ,45 ,45 ,"183,620,087 ","191,159,929 ","196,474,018 ","212,129,119 ","215,680,534 ","230,852,360 ","38,436 ","39,466 ","40,710 ","41,702 ","41,847 ","43,624 ","44,983 ","46,704 ","47,816 ","49,195 ","49,152 ","50,360 "
102021047,Chittaway Bay - Tumbi Umbi,"8,170 ","8,120 ","8,190 ","8,348 ","8,558 ","9,088 ",44 ,44 ,44 ,44 ,44 ,44 ,"385,872,020 ","407,467,029 ","421,938,187 ","442,415,939 ","461,451,846 ","494,962,322 ","40,228 ","42,595 ","43,707 ","45,015 ","46,556 ","46,984 ","47,230 ","50,181 ","51,519 ","52,997 ","53,921 ","54,463 "
102021048,Gorokan - Kanwal - Charmhaven,"9,392 ","9,390 ","9,397 ","9,644 ","9,971 ","10,256 ",43 ,44 ,44 ,44 ,43 ,43 ,"399,863,309 ","416,105,626 ","429,363,162 ","446,204,871 ","472,233,266 ","494,602,771 ","38,141 ","39,311 ","40,284 ","41,051 ","42,005 ","43,265 ","42,575 ","44,314 ","45,692 ","46,268 ","47,361 ","48,226 "
102021049,Jilliby - Yarramalong,"1,838 ","1,878 ","1,933 ","1,990 ","2,005 ","2,117 ",47 ,47 ,47 ,47 ,47 ,47 ,"105,800,525 ","116,331,948 ","129,569,445 ","127,440,367 ","140,969,303 ","136,956,708 ","41,013 ","41,748 ","43,918 ","44,122 ","45,813 ","46,795 ","57,563 ","61,945 ","67,030 ","64,040 ","70,309 ","64,694 "
102021050,Lake Munmorah - Mannering Park,"4,559 ","4,558 ","4,584 ","4,730 ","4,853 ","5,011 ",44 ,45 ,45 ,45 ,45 ,45 ,"201,302,088 ","212,775,710 ","219,097,357 ","226,930,900 ","244,931,027 ","253,687,960 ","38,005 ","39,592 ","40,752 ","41,152 ","43,803 ","44,114 ","44,155 ","46,682 ","47,796 ","47,977 ","50,470 ","50,626 "
102021051,Ourimbah - Fountaindale,"2,832 ","2,781 ","2,834 ","2,932 ","2,930 ","3,000 ",43 ,44 ,44 ,44 ,44 ,44 ,"155,113,677 ","159,368,814 ","168,506,698 ","177,931,589 ","184,496,334 ","188,455,002 ","42,970 ","45,837 ","47,338 ","48,214 ","50,776 ","50,932 ","54,772 ","57,306 ","59,459 ","60,686 ","62,968 ","62,818 "
102021052,Summerland Point - Gwandalan,"2,702 ","2,709 ","2,799 ","2,858 ","2,981 ","3,088 ",45 ,45 ,45 ,45 ,45 ,45 ,"121,636,338 ","127,941,391 ","135,529,183 ","142,123,972 ","149,462,623 ","159,747,093 ","38,052 ","39,882 ","41,343 ","42,683 ","42,399 ","44,718 ","45,017 ","47,228 ","48,421 ","49,728 ","50,138 ","51,732 "
102021053,The Entrance,"8,799 ","9,154 ","9,710 ","10,024 ","9,416 ","7,765 ",42 ,42 ,43 ,43 ,44 ,46 ,"390,832,293 ","430,232,622 ","476,697,917 ","511,920,965 ","495,139,200 ","398,281,425 ","38,261 ","40,743 ","42,366 ","44,137 ","45,934 ","42,211 ","44,418 ","46,999 ","49,094 ","51,070 ","52,585 ","51,292 "
102021054,Toukley - Norah Head,"4,137 ","4,131 ","4,207 ","4,320 ","4,437 ","4,693 ",46 ,46 ,45 ,45 ,45 ,45 ,"180,775,230 ","188,522,501 ","198,541,401 ","210,391,544 ","219,916,400 ","236,771,997 ","35,801 ","37,889 ","38,788 ","39,615 ","41,417 ","42,525 ","43,697 ","45,636 ","47,193 ","48,702 ","49,564 ","50,452 "
